code_anon,timestamp
3,2023-03-04 13:22:07.304
79,2023-03-04 13:22:08.490
14,2023-03-04 13:22:19.267
178,2023-03-04 13:22:19.520
176,2023-03-04 13:22:19.747
75,2023-03-04 13:22:19.989
101,2023-03-04 13:22:20.196
110,2023-03-04 13:22:47.147
118,2023-03-04 13:22:51.266
19,2023-03-04 13:22:51.871
172,2023-03-04 13:23:03.750
51,2023-03-04 13:23:04.028
129,2023-03-04 13:23:04.360
166,2023-03-04 13:23:21.952
24,2023-03-04 13:23:22.165
175,2023-03-04 13:23:26.122
61,2023-03-04 13:23:29.900
102,2023-03-04 13:24:19.308
159,2023-03-04 13:24:54.417
108,2023-03-04 13:25:00.411
82,2023-03-04 13:25:34.927
74,2023-03-04 13:25:47.659
96,2023-03-04 13:28:32.065
108,2023-03-04 13:28:36.582
36,2023-03-04 13:28:40.028
74,2023-03-04 13:29:24.524
115,2023-03-04 13:30:45.706
16,2023-03-04 13:30:46.539
42,2023-03-04 13:30:47.561
0,2023-03-04 13:30:47.856
154,2023-03-04 13:30:47.876
4,2023-03-04 13:30:47.906
72,2023-03-04 13:30:48.151
181,2023-03-04 13:30:48.143
179,2023-03-04 13:30:48.224
125,2023-03-04 13:30:48.461
85,2023-03-04 13:30:48.495
66,2023-03-04 13:30:48.438
183,2023-03-04 13:30:48.685
30,2023-03-04 13:30:48.755
57,2023-03-04 13:30:48.582
87,2023-03-04 13:30:48.835
149,2023-03-04 13:30:48.919
21,2023-03-04 13:30:49.093
44,2023-03-04 13:30:48.963
50,2023-03-04 13:30:48.969
73,2023-03-04 13:30:49.218
157,2023-03-04 13:30:49.265
93,2023-03-04 13:30:49.334
124,2023-03-04 13:30:49.174
134,2023-03-04 13:30:49.427
32,2023-03-04 13:30:49.501
121,2023-03-04 13:30:49.223
187,2023-03-04 13:30:49.601
12,2023-03-04 13:30:49.683
63,2023-03-04 13:30:49.882
132,2023-03-04 13:30:49.669
100,2023-03-04 13:30:49.816
11,2023-03-04 13:30:50.002
41,2023-03-04 13:30:49.986
22,2023-03-04 13:30:50.091
56,2023-03-04 13:30:50.490
148,2023-03-04 13:30:50.212
47,2023-03-04 13:30:50.301
71,2023-03-04 13:30:50.668
117,2023-03-04 13:30:51.108
156,2023-03-04 13:30:50.902
5,2023-03-04 13:30:50.923
113,2023-03-04 13:30:51.221
145,2023-03-04 13:30:51.291
135,2023-03-04 13:30:51.601
173,2023-03-04 13:30:51.582
64,2023-03-04 13:30:51.925
174,2023-03-04 13:30:52.192
137,2023-03-04 13:30:52.323
165,2023-03-04 13:30:52.367
139,2023-03-04 13:30:52.773
6,2023-03-04 13:30:53.031
33,2023-03-04 13:30:53.493
98,2023-03-04 13:30:53.262
10,2023-03-04 13:30:53.837
153,2023-03-04 13:30:54.031
144,2023-03-04 13:30:54.170
28,2023-03-04 13:30:54.449
89,2023-03-04 13:30:56.070
133,2023-03-04 13:30:56.394
26,2023-03-04 13:30:56.932
18,2023-03-04 13:30:57.886
99,2023-03-04 13:30:58.100
126,2023-03-04 13:30:58.340
23,2023-03-04 13:30:58.371
8,2023-03-04 13:30:58.515
92,2023-03-04 13:30:59.694
104,2023-03-04 13:30:59.938
43,2023-03-04 13:31:00.164
31,2023-03-04 13:31:00.391
127,2023-03-04 13:31:22.678
54,2023-03-04 13:31:22.970
103,2023-03-04 13:31:23.024
116,2023-03-04 13:31:23.126
40,2023-03-04 13:31:28.128
160,2023-03-04 13:31:46.965
46,2023-03-04 13:32:05.741
58,2023-03-04 13:32:22.754
107,2023-03-04 13:32:34.235
130,2023-03-04 13:32:48.324
59,2023-03-04 13:32:48.117
76,2023-03-04 13:32:48.531
119,2023-03-04 13:32:48.721
70,2023-03-04 13:32:48.797
123,2023-03-04 13:32:49.134
14,2023-03-04 13:33:51.091
178,2023-03-04 13:33:51.239
79,2023-03-04 13:33:51.548
101,2023-03-04 13:33:51.915
184,2023-03-04 13:33:52.028
3,2023-03-04 13:33:52.468
75,2023-03-04 13:33:52.816
176,2023-03-04 13:33:52.681
45,2023-03-04 13:33:53.158
110,2023-03-04 13:35:16.980
129,2023-03-04 13:35:17.692
118,2023-03-04 13:35:18.524
172,2023-03-04 13:35:18.673
19,2023-03-04 13:35:29.201
51,2023-03-04 13:35:38.878
166,2023-03-04 13:36:05.833
61,2023-03-04 13:36:06.328
24,2023-03-04 13:36:11.002
175,2023-03-04 13:37:45.048
81,2023-03-04 13:38:49.297
52,2023-03-04 13:38:49.501
81,2023-03-04 13:39:04.841
52,2023-03-04 13:39:06.000
32,2023-03-04 13:41:03.774
30,2023-03-04 13:41:03.909
42,2023-03-04 13:41:04.477
16,2023-03-04 13:41:05.243
115,2023-03-04 13:41:05.508
135,2023-03-04 13:41:05.744
117,2023-03-04 13:41:06.039
50,2023-03-04 13:41:06.223
181,2023-03-04 13:41:06.441
72,2023-03-04 13:41:06.927
179,2023-03-04 13:41:07.440
93,2023-03-04 13:41:07.621
21,2023-03-04 13:41:07.841
85,2023-03-04 13:41:08.052
44,2023-03-04 13:41:08.255
154,2023-03-04 13:41:08.320
66,2023-03-04 13:41:08.479
157,2023-03-04 13:41:08.664
121,2023-03-04 13:41:08.652
0,2023-03-04 13:41:08.936
56,2023-03-04 13:41:09.159
125,2023-03-04 13:41:09.170
183,2023-03-04 13:41:09.419
187,2023-03-04 13:41:09.663
132,2023-03-04 13:41:09.935
87,2023-03-04 13:41:09.965
145,2023-03-04 13:41:10.081
22,2023-03-04 13:41:10.186
149,2023-03-04 13:41:10.406
156,2023-03-04 13:41:10.504
47,2023-03-04 13:41:10.711
63,2023-03-04 13:41:10.911
33,2023-03-04 13:41:11.016
165,2023-03-04 13:41:11.216
144,2023-03-04 13:41:11.346
10,2023-03-04 13:41:11.583
12,2023-03-04 13:41:11.384
174,2023-03-04 13:41:11.550
